province,capital,longitude,latitude
辽宁,沈阳市,123.429092,41.796768
吉林,长春市,125.324501,43.886841
黑龙江,哈尔滨市,126.642464,45.756966
北京,北京市,116.405289,39.904987
天津,天津市,117.190186,39.125595
内蒙古,呼和浩特市,111.75199,40.84149
宁夏,银川市,106.23248,38.48644
山西,太原市,112.549248,37.857014
河北,石家庄市,114.502464,38.045475
山东,济南市,117.000923,36.675808
河南,郑州市,113.665413,34.757977
陕西,西安市,108.948021,34.263161
湖北,武汉市,114.298569,30.584354
江苏,南京市,118.76741,32.041546
安徽,合肥市,117.283043,31.861191
上海,上海市,121.472641,31.231707
湖南,长沙市,112.982277,28.19409
江西,南昌市,115.892151,28.676493
浙江,杭州市,120.15358,30.287458
福建,福州市,119.306236,26.075302
广东,广州市,113.28064,23.125177
台湾,台北市,121.520076,25.030724
海南,海口市,110.19989,20.04422
广西,南宁市,108.320007,22.82402
重庆,重庆市,106.504959,29.533155
云南,昆明市,102.71225,25.040609
贵州,贵阳市,106.713478,26.578342
四川,成都市,104.065735,30.659462
甘肃,兰州市,103.83417,36.06138
青海,西宁市,101.77782,36.61729
西藏,拉萨市,91.1145,29.64415
新疆,乌鲁木齐市,87.61688,43.82663
香港,香港,114.16546,22.27534
澳门,澳门,113.54913,22.19875
